siteName,siteIDNode,longitude,latitude
ararimu,2601,174.5555046,-36.7027596
ararimu,2602,174.55421,-36.70256
ararimu,2603,174.55472,-36.70378
ararimu,2604,174.5538,-36.70147
ararimu,2605,174.55594,-36.70093
riverhead,2703,174.6144146,-36.716114
riverhead,2704,174.6159542,-36.7147658
riverhead,2705,174.6124516,-36.7153138
wharekapua,2801,173.05199,-34.71997
wharekapua,2802,173.05379,-34.71972
wharekapua,2803,173.05785,-34.72081
wharekapua,2804,173.04782,-34.72125
wharekapua,2805,173.05528,-34.71748
kendall,1404,-109.9412571,31.7358617
kendall,1405,-109.9409609,31.7354819
kendall,1406,-109.9441977,31.7367768
kendall,1407,-109.9465874,31.7367028
kendall,1408,-109.9467603,31.7371228
kendall,1409,-109.9466268,31.7378994
luckyhills,1501,-110.0526582,31.7424584
luckyhills,1502,-110.0525709,31.7427342
luckyhills,1503,-110.0526327,31.7430244
luckyhills,1504,-110.0528039,31.7427053
luckyhills,1505,-110.0523438,31.7444709
luckyhills,1506,-110.0530076,31.7440443
luckyhills,1507,-110.0532088,31.7429825
co-z1,2001,-105.9906018,37.19536346
co-z1,2002,-105.9919738,37.19404361
co-z1,2003,-105.9903314,37.18880604
co-z1,2004,-105.9965696,37.19027403
co-z4,2101,-105.8207443,37.05713745
co-z4,2105,-105.8242449,37.05512048
jr-1,2301,-106.7406693,32.523121
jr-1,2302,-106.7406104,32.5160081
jr-1,2303,-106.738935,32.51922
jr-1,2304,-106.736256,32.519983
jr-2,2401,-106.7833147,32.5904713
jr-2,2402,-106.7782604,32.5891688
jr-2,2403,-106.7879135,32.589969
jr-2,2404,-106.778549,32.5924438
jr-2,2405,-106.7780101,32.5897793
jr-3,2501,-106.7369538,32.6135526
jr-3,2502,-106.7371607,32.6087985
jr-3,2503,-106.7412049,32.6122675
jr-3,2504,-106.7326965,32.6099891